comment,compound,positive,negative,neutral
1:05 Correction: The back is Gorilla Glass Victus 2; ***ALSO our One UI 7 video is up in a mobile aspect for your phone: https://youtu.be/F22usek7xb0,0.0,0.0,0.0,1.0
"After two years, the screen is likely to develop a line, either pink or green",0.0,0.0,0.0,1.0
why do they make the camera out,0.0,0.0,0.0,1.0
"On 5th February 2025, I bought Samsung S25 Ultra phone. I opened it up at the store and used it, made a video of it too, an app opened on its own, I thought that some setting was not right.

But this automatic app opening is still going on till date. I went to the local Samsung service center after just two days, they said it will get fixed on its own.

From the very first day, Now Brief does not appear on the lock screen.

AI does not work properly every time. I went to the local service center again and again, then they asked me to reset and update the software.

It did not seem right to get this done in a new phone, but there was no other way. I sat there for two days, did everything but the phone worked as it was.

Called Samsung customer care, they checked with the monitor, fixed the apps...the problem persisted.

Some concerned officer Mr. Nikhil Rai talked to me. I ordered so many things, I sent videos of apps opening automatically, sent photos of the lock screen in which Now Brief does not open.

Nikhil talked to me on Thursday, 27 February and said that he will call me on Friday evening between 4 and 5. I waited but no call came.

I called customer care again on Monday and they made me talk to Nikhil...then said that they will talk on Tuesday evening between 4 and 6.

I told them beforehand that I will not get this phone repaired now, now I want a replacement.

I waited again on Tuesday, no call came. Then I called customer care on Wednesday and they made me talk to Nikhil.

Nikhil again talked about doing some logging for which I would have to go to Samsung's service center. I told them that I have already said that I will not do all this now.

I am 68 years old, I am a heart patient, I have kidney problems, I am diabetic, I have blood pressure...it is not possible for me to go to the market again and again. I am alone.

My health has deteriorated due to this mental torture for one month. My cardiologist is worried.

Samsung has caused me financial, mental and physical trouble by giving me a bad phone. And they are making me run from one place to another.

If you are buying any Samsung product then keep in mind that the after sales service of Samsung is very bad.

Galaxy S25 is an ultra premium phone..no one is going to listen.",-0.9468,0.048,0.082,0.869
"The S25 Ultra is the best phone in the market, with some caveats no Bluetooth in the S pen and not much difference in the camera except for the ultra wide lens and the lack of a bigger battery but the S25 Ultra is still the best smartphone that’s widely available, if the Chinese phones were available more widely then it would be a different story and I can’t wait to get the S25 Ultra.",0.7992,0.102,0.039,0.859
"It’s funny how much iPhone and Samsung are alike now, always copying each other",0.4404,0.182,0.0,0.818
"S25 (50 MP): 1/1.56” sensor → Larger individual pixels
S25 Ultra (200 MP): 1/1.3” sensor → Much smaller individual pixels

The sensor size increase from S25 to S25 Ultra is 1/1.56"" to 1/1.3""
But the increase in megapixel is 50MP to 200MP !
This is a trick to make it look `better`.

If Samsung had kept pixel sizes the same, the S25 Ultra should have had around 60 MP, not 200 MP.

The 200 MP resolution is over 3× higher than the proportional sensor increase, which means each individual pixel is significantly smaller. This forces Samsung to rely heavily on pixel binning to improve low-light performance, rather than just using larger native pixels.

The MP increase is way out of proportion compared to the sensor size increase. 🚀
Don't fall for that marketing trick.

Consider that ""200 MP"" as ""60 MP"".",0.963,0.137,0.017,0.846
"The S25 ultra sucks.  As someone who is using it now. I switched from a OnePlus8t, and this samsung is a joke for its price point",-0.0772,0.077,0.087,0.836
I really wish they would just bring back the expandable storage 😫,0.024,0.177,0.172,0.651
"Unpopular opinion? I owned S24 Ultra for 1 month only.
That phone hurts my palm so bad. Too wide, too boxy, too heavy. Even read some reviews that it could puncture their jeans. I couldnt endure the discomfort. And I came from most of the Note series so I am familiar with the feel of boxy phones, but s24U is just uncomfortable to use. Even using a case did not solve my problems. Sold it. Bought s25U and the difference is night and day.

S25U is A LOT smoother, faster, and very comfortable to hold. The ""hated"" curved frame is GREAT. The ""hated"" reduced weight is PERFECT. Like i could use this phone for 3-4 yrs. Almost perfect phone if it wasnt for the spen downgrade. But its fine for me. As i wont be using the spen shutter everyday, but id be holding my phone everyday ofcourse.

And the speakers... I owned a Note 20 prior to s24U and my Note 20 sounded a lot better. S24U's speakers sound so flat. I hated it so bad. Whereas the S25U probably has the best phone speaker as of this moment. Really punchy bass and great overall.

And oh, S24U overheats as well. I play games on my phone and even setting the graphics to minimum and low fps, it still overheats so bad. Whereas the S25U does not AT ALL. 

I was just so disappointed with the S24U that I didnt feel the upgrade and I came from only the Note 20 at that.

Maybe you cannot see huge improvements or drastic innovations on the S25U (and same, spen is a let down)... but samsung FIXED the things I HATED with my s24U. Hate is an understatement for such an expensive phone. Those things made me let go of my s24U and try the s25U. 

And I am just so happy with my S25U.:)
Titanium Gray variant is such a lovely color as well.

Hope people would just stop this train hate for the s25U.
It is an AMAZING PHONE. A LOT BETTER THAN S24U.",0.9167,0.179,0.155,0.666
Watching with my new S25 Ultra 12gb+512gb variant,0.0,0.0,0.0,1.0
"please, i need some advice urgently now. i didn't like the iphone 16 pro max that i bought recently and i want to exchange it for a samsung s25 ultra or s24 ultra. what do you think is it worth?? because i don't know what to do..",0.4118,0.115,0.041,0.844
Looks no difference from s24.,-0.296,0.0,0.355,0.645
"What city are you in in those pictures, it looks cool!",0.3802,0.206,0.0,0.794
I've got an S22 Ultra and I dunno man. The S25 Ultra looks like a downgrade to me. I wonder if there is a comparison video around. And can I use my old S pen? Is it's air gestures still compatible with this phone or did they just fully remove that functionality?,0.4329,0.053,0.0,0.947
"Ive seen so many mixed reviews, im upgrading from a 21 ultra. Hope its worth the upgrade!",0.6239,0.253,0.0,0.747
Why the hell would they downgrade on stylus?,-0.6808,0.0,0.397,0.603
Guy’s high again. 😂,0.4404,0.325,0.162,0.513
is s25 ultra for you ? https://www.youtube.com/watch?v=Tz8mDB_az9g,0.0,0.0,0.0,1.0
This guy speaks like an AI lol,0.6486,0.515,0.0,0.485
Read the review on CNET.com:  Galaxy S25 and S25 Plus Review: Just Enough AI to Not Make Me Go Crazy https://cnet.us/zz9,-0.34,0.0,0.107,0.893
Garbage,0.0,0.0,0.0,1.0
"Oh boy! You had me at the Carrington Mansion! I didn't know the name of it, but I knew it instantly when you showed the front of the _Dynasty_ estate (I'm rewatching it now on Pluto...lol). I still have an S21 and was going to upgrade to the S23, but the price is so low with my carrier ($649 for the S25+, interest free for 2 years). I usually buy a 2 year old refurbished one (like the one I have), but It makes more sense this time to get the newest one at $350 off. It has to be better than the one I have and really, there's nothing wrong with it, but it's 4 years old. I'll go get one tomorrow!",0.9555,0.143,0.026,0.831
Can i turn off the AI AM THINKING ABOUT GOING BACK TO SAMSUNG sick of AI,-0.5106,0.0,0.18,0.82
I still haven't seen any 1 asking for dam AI! SMDH,0.0,0.0,0.0,1.0
